artist,title,pop_date,pop_peakPos,pop_lastPos,pop_weeks,pop_rank,pop_change,rnb_date,rnb_peakPos,rnb_lastPos,rnb_weeks,rnb_rank,rnb_change
AJR,I'm Ready,8/16/14,33,27,12,33,-6,6/25/05,49,49,8,49,0
Joe,I Wanna Know,11/4/00,5,31,26,36,-5,10/14/00,2,49,57,46,3
The Game Featuring 50 Cent,How We Do,6/4/05,14,35,17,40,-5,5/21/05,2,44,30,44,0
Dev & Enrique Iglesias,Naked,4/28/12,30,37,9,39,-2,1/7/06,27,46,29,46,0
Diddy - Dirty Money Featuring T.I.,Hello Good Morning,7/24/10,38,0,2,38,Re-Entry,9/11/10,13,34,22,41,-7
Kanye West Featuring Dwele,Flashing Lights,3/1/08,31,31,6,33,-2,5/10/08,12,39,27,45,-6
Toni Braxton,Another Sad Love Song,1/15/94,7,39,21,38,1,1/22/94,2,40,32,45,-5
Usher,U Got It Bad,5/11/02,3,32,26,35,-3,5/4/02,1,43,35,50,-7
Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,Snap Yo Fingers,9/30/06,25,33,16,39,-6,10/21/06,1,46,41,50,-4
Icona Pop,All Night,11/23/13,33,38,6,40,-2,5/21/16,23,23,2,30,-7
Good Charlotte,Hold On,3/20/04,17,30,14,40,-10,4/5/14,47,0,1,47,New
Michael Jackson,Butterflies,2/9/02,36,36,2,38,-2,5/25/02,2,48,30,50,-2
Beyonce,Sorry,7/30/16,33,33,6,38,-5,9/24/16,42,17,20,20,-3
Jay-Z Featuring UGK,Big Pimpin,10/7/00,30,37,8,40,-3,8/26/00,6,30,22,38,-8
Brian McKnight,One Last Cry,10/23/93,19,35,14,37,-2,11/20/93,8,35,25,49,-14
Chris Brown,Say Goodbye,2/24/07,14,39,19,40,-1,2/3/07,1,43,25,47,-4
Chamillionaire Featuring Krayzie Bone,Ridin',9/16/06,3,21,20,21,0,8/5/06,7,44,27,46,-2
DMX,Party Up (Up In Here),9/23/00,39,40,6,40,0,7/29/00,8,40,26,44,-4
TLC,What About Your Friends,2/6/93,18,32,16,38,-6,2/27/93,2,42,26,46,-4
Lloyd Banks,On Fire,8/28/04,29,30,5,29,1,9/18/04,4,34,21,34,0
Dionne Farris,I Know,8/5/95,1,18,28,20,-2,8/22/15,46,45,8,50,-5
Tony Toni Tone,If I Had No Loot,11/27/93,5,37,23,39,-2,10/2/93,8,34,20,41,-7
Seether,Careless Whisper,7/25/09,36,36,3,40,-4,1/14/17,8,0,16,13,Re-Entry
Janet,All For You,9/8/01,7,32,26,34,-2,6/23/01,1,31,16,38,-7
Boyz II Men,Pass You By,11/25/00,39,0,1,39,Hot Shot Debut,10/14/00,27,47,15,49,-2
Bo Bice,The Real Thing,7/8/06,17,39,20,37,2,2/23/91,44,44,12,47,-3
Destiny s Child,"Bills, Bills, Bills",10/30/99,26,37,12,38,-1,10/30/99,1,40,24,47,-7
Justin Timberlake Duet With Beyonce,Until The End Of Time,12/22/07,26,37,9,40,-3,4/26/08,44,38,56,43,-5
Ed Sheeran,Don't,1/24/15,2,12,25,13,-1,4/30/16,4,9,38,10,-1
En Vogue,Giving Him Something He Can Feel,10/3/92,31,0,1,31,Hot Shot Debut,9/19/92,1,36,17,47,-11
Usher And Alicia Keys,My Boo,3/12/05,25,35,26,37,-2,7/23/16,10,25,36,25,0
Drake,Find Your Love,10/30/10,8,33,20,34,-1,11/6/10,3,33,26,37,-4
Mandy Moore,I Wanna Be With You,10/7/00,11,33,23,36,-3,12/14/13,30,43,8,50,-7
Next,Wifey,9/9/00,40,0,1,40,Hot Shot Debut,12/23/00,1,38,33,44,-6
Bow Wow Featuring Omarion,Let Me Hold You,11/19/05,10,36,18,38,-2,10/22/05,2,27,24,36,-9
James Bay,Let It Go,7/30/16,29,9,21,12,-3,12/29/12,25,25,2,35,-10
Mase,Feel So Good,3/7/98,36,39,8,37,2,3/21/98,5,46,21,46,0
Destiny's Child,Emotion,2/23/02,8,36,22,40,-4,12/15/01,28,38,12,49,-11
Young Jeezy Featuring Akon,Soul Survivor,3/18/06,10,38,19,38,0,3/11/06,1,48,31,49,-1
Mariah Carey Featuring Jay-Z,Heartbreaker,1/1/00,21,38,16,40,-2,2/9/08,37,50,24,50,0
Whitney Houston Feat. Faith Evans,Heartbreak Hotel,8/7/99,8,33,21,40,-7,6/26/99,1,47,31,43,4
Lenny Kravitz,I Belong To You,4/29/00,36,36,7,36,0,2/22/92,10,21,17,39,-18
Diddy Featuring Nicole Scherzinger,Come To Me,2/3/07,21,32,15,39,-7,12/9/06,13,26,19,39,-13
Fabolous Featuring Mike Shorey & Lil' Mo,Can't Let You Go,8/9/03,23,35,12,39,-4,8/23/03,2,35,28,44,-9
Whitney Houston,"I m Every Woman (From The Bodyguard"")""",5/29/93,3,35,19,38,-3,5/29/93,5,38,21,42,-4
Destiny's Child,Lose My Breath,3/19/05,3,31,26,30,1,2/5/05,10,32,20,50,-18
Vanessa Carlton,Pretty Baby,3/8/03,21,24,11,35,-11,6/24/06,44,47,12,49,-2
The Weeknd,Earned It (Fifty Shades Of Grey),7/18/15,1,18,20,23,-5,8/8/15,1,8,31,10,-2
Ja Rule Featuring Ashanti,Always On Time,6/15/02,5,33,22,39,-6,5/18/02,1,46,29,44,2
Kanye West Featuring Lupe Fiasco,Touch The Sky,4/8/06,35,35,4,40,-5,4/1/06,23,25,18,40,-15
Eminem,Lose Yourself,4/5/03,1,33,26,33,0,2/15/03,4,36,20,42,-6
Who Is Fancy,Goodbye,4/18/15,29,30,6,35,-5,2/16/02,18,38,21,45,-7
Chris Brown Featuring T-Pain,Kiss Kiss,3/15/08,27,21,20,24,-3,3/1/08,2,34,28,50,-16
Tinashe Featuring ScHoolboy Q,2 On,11/29/14,22,39,20,39,0,11/1/14,5,9,30,10,-1
"Nicole Featuring Missy Misdemeanor"" Elliott""",Make It Hot,12/12/98,37,37,7,37,0,12/26/98,6,38,27,36,2
